Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
1778861,00000157,false,Rx,0,8,D5,57,09,C4,FF,E0,BE,80,
1779105,000001A1,false,Rx,0,8,B2,8B,3C,34,99,0C,80,20,
1783793,00000435,false,Rx,0,8,FF,FF,1E,6A,3B,10,00,00,
1784036,0000019F,false,Rx,0,8,00,00,7D,0A,00,6A,90,FE,
1788034,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
1788198,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1788914,00000157,false,Rx,0,8,D5,A7,09,C4,FF,E0,BE,80,
1789108,000001A1,false,Rx,0,8,B2,8B,3E,34,99,0C,80,20,
1789328,00000436,false,Rx,0,6,86,14,AB,03,FF,DC,00,00,
1793108,0000042F,false,Rx,0,2,32,20,00,00,00,00,00,00,
1793983,0000019F,false,Rx,0,8,00,00,7D,0F,00,6A,90,FE,
1794254,00000511,false,Rx,0,7,04,16,59,F0,D5,C3,A6,00,
1797996,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
1798156,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1798833,00000157,false,Rx,0,8,D5,F7,09,C4,FF,E0,BE,80,
1799051,000001A1,false,Rx,0,8,B2,8B,4A,34,99,0C,80,20,
1804011,0000019F,false,Rx,0,8,00,00,7D,04,00,6A,90,FE,
1807958,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
1808180,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1808879,00000157,false,Rx,0,8,D5,47,09,C4,FF,E0,BE,80,
1809100,000001A1,false,Rx,0,8,B2,8B,6E,34,99,0C,80,20,
1814004,0000019F,false,Rx,0,8,00,00,7D,09,00,6A,90,FE,
1817954,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CA,
1818202,00000424,false,Rx,0,8,11,40,56,C8,3F,5E,55,40,
1818371,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1818592,00000425,false,Rx,0,8,0A,D2,44,9C,3E,22,FD,10,
1818905,00000157,false,Rx,0,8,D5,97,09,C4,FF,E0,BE,80,
1819124,000001A1,false,Rx,0,8,B2,8B,AE,34,99,0C,80,20,
1823978,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,90,FE,
1828001,00000155,false,Rx,0,8,0A,87,F2,54,98,48,02,CB,
1828171,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1828906,00000157,false,Rx,0,8,D5,E7,09,C4,FF,E0,BE,80,
1829125,000001A1,false,Rx,0,8,B2,8B,88,34,99,0C,80,20,
1833980,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,90,FE,
1837953,00000155,false,Rx,0,8,0A,87,F1,54,98,48,02,CA,
1838175,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
1838827,00000157,false,Rx,0,8,D5,37,09,C4,FF,E0,BE,80,
1839049,000001A1,false,Rx,0,8,B2,8B,38,34,29,0C,80,20,
