Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
317310434,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
317310655,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
317310882,0000019F,false,Rx,0,8,00,00,7D,0E,00,6A,88,4E,
317311086,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
317314173,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
317315260,00000157,false,Rx,0,7,D5,16,09,C4,00,00,00,00,
317315546,00000423,false,Rx,0,8,07,1E,FF,FD,B2,A0,B2,C1,
317316870,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
317320538,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
317320590,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
317320889,0000019F,false,Rx,0,8,00,00,7D,03,00,6A,88,4E,
317321056,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
317324071,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
317325547,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
317326209,00000157,false,Rx,0,7,D5,66,09,C4,00,00,00,00,
317330405,00000196,false,Rx,0,8,00,64,02,FF,A0,FF,2B,00,
317330634,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
317330859,0000019F,false,Rx,0,8,00,00,7D,08,00,6A,88,4E,
317331060,000001A1,false,Rx,0,6,00,05,88,26,00,00,00,00,
317331252,00000435,false,Rx,0,4,FF,FF,1E,00,00,00,00,00,
317333957,000001C7,false,Rx,0,4,AA,A0,FF,C0,00,00,00,00,
317334504,00000155,false,Rx,0,8,03,87,CE,54,9C,40,02,C3,
317335208,00000157,false,Rx,0,7,D5,B6,09,C4,00,00,00,00,
317340329,00000156,false,Rx,0,6,FF,FF,FF,05,FF,40,00,00,
